"node_id","node_type","layer","label","degree","weighted_degree","in_degree","out_degree","betweenness_centrality","eigenvector_centrality","component_id"
"IHR-OBL-040","ihr2005_obligation","international_normative_layer","IHR Art. 43(1)-(2) — Additional health measures — scientific basis and proportionality","7","7.9","3","4","4.3e-05","0.000264","0"
"IHR-OBL-041","ihr2005_obligation","international_normative_layer","IHR Art. 43(3) and (5) — Additional health measures — notification to WHO","5","4.9","2","3","2e-05","0.000129","0"
"IHR-OBL-042","ihr2005_obligation","international_normative_layer","IHR Art. 43(6) — Additional health measures — periodic review","6","6.3","2","4","3.9e-05","0.000156","0"
"IHR-OBL-043","ihr2005_obligation","international_normative_layer","IHR Art. 44(1) — Collaboration and assistance between States Parties","11","13.6","7","4","0.000167","0.000648","0"
"IHR-OBL-044","ihr2005_obligation","international_normative_layer","IHR Art. 45 — Treatment of personal data","7","8.8","3","4","7.4e-05","0.000324","0"
"IHR-OBL-045","ihr2005_obligation","international_normative_layer","IHR Art. 46 — Transport and handling of biological substances and diagnostic specimens","5","4.8","1","4","2.5e-05","5.5e-05","0"
"IHR24-CHG-001","ihr2024_change","update_review_layer","IHR 2024 Article 1 — new definition","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-002","ihr2024_change","update_review_layer","IHR 2024 Article 1 — new definition","0","0","0","0","0.0","1e-06","4"
"IHR24-CHG-003","ihr2024_change","update_review_layer","IHR 2024 Article 1 — new definition","0","0","0","0","0.0","1e-06","5"
"IHR24-CHG-004","ihr2024_change","update_review_layer","IHR 2024 Article 2 — modified principle","0","0","0","0","0.0","1e-06","6"
"IHR24-CHG-005","ihr2024_change","update_review_layer","IHR 2024 Article 3 — modified principle","0","0","0","0","0.0","1e-06","7"
"IHR24-CHG-006","ihr2024_change","update_review_layer","IHR 2024 Article 4 — modified responsible authority requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-007","ihr2024_change","update_review_layer","IHR 2024 Article 4 — modified responsible authority requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-008","ihr2024_change","update_review_layer","IHR 2024 Article 4 — modified responsible authority requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-009","ihr2024_change","update_review_layer","IHR 2024 Article 4 — modified responsible authority requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-010","ihr2024_change","update_review_layer","IHR 2024 Article 5 — modified surveillance/core capacity requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-011","ihr2024_change","update_review_layer","IHR 2024 Article 6 — modified notification/information requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-012","ihr2024_change","update_review_layer","IHR 2024 Article 8 — modified notification/information requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-013","ihr2024_change","update_review_layer","IHR 2024 Article 10 — modified notification/information requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-014","ihr2024_change","update_review_layer","IHR 2024 Article 11 — modified notification/information requirement","0","0","0","0","0.0","1e-06","8"
"IHR24-CHG-015","ihr2024_change","update_review_layer","IHR 2024 Article 12 — modified PHEIC determination procedure","0","0","0","0","0.0","1e-06","9"
"IHR24-CHG-016","ihr2024_change","update_review_layer","IHR 2024 Article 12 — modified PHEIC determination procedure","0","0","0","0","0.0","1e-06","10"
"IHR24-CHG-017","ihr2024_change","update_review_layer","IHR 2024 Article 13 — modified response obligation","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-018","ihr2024_change","update_review_layer","IHR 2024 Article 13 — modified response obligation","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-019","ihr2024_change","update_review_layer","IHR 2024 Article 13 — modified response obligation","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-020","ihr2024_change","update_review_layer","IHR 2024 Article 13 — modified response obligation","0","0","0","0","0.0","1e-06","11"
"IHR24-CHG-021","ihr2024_change","update_review_layer","IHR 2024 Article 13 — modified collaboration/assistance/financing requirement","2","3.0","0","2","0.0","1e-06","0"
"IHR24-CHG-022","ihr2024_change","update_review_layer","IHR 2024 Article 15 — modified recommendation framework","0","0","0","0","0.0","1e-06","12"
"IHR24-CHG-023","ihr2024_change","update_review_layer","IHR 2024 Article 16 — modified recommendation framework","0","0","0","0","0.0","1e-06","13"
"IHR24-CHG-024","ihr2024_change","update_review_layer","IHR 2024 Article 17 — modified recommendation framework","0","0","0","0","0.0","1e-06","14"
"IHR24-CHG-025","ihr2024_change","update_review_layer","IHR 2024 Article 18 — modified recommendation framework","0","0","0","0","0.0","1e-06","15"
"IHR24-CHG-026","ihr2024_change","update_review_layer","IHR 2024 Article 19 — modified points of entry requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-027","ihr2024_change","update_review_layer","IHR 2024 Article 20 — modified points of entry requirement","2","3.0","0","2","0.0","1e-06","0"
